#### EXPORT DONNEES METEO POUR "BISCARROSSE" (LAT/LON: 44.3946602/-1.164218)
#### DONNEES PROVENANT DE WWW.HISTORIQUE-METEO.NET - UTILISATION LIBRE A CONDITION DE MENTIONNER LEUR PROVENANCE
#### DOC POUR LES WEATHER CODES : https://www.historique-meteo.net/weathercodes.txt
DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,OPINION,SUNSET,SUNRISE,TEMPERATURE_NIGHT_C
2022-02-06,11,9,23,9,11,11,0,77,10,1033,74.25,11,8,7,119,119,119,0,4,6.7,météo défavorable,18:21:00,08:17:00,9
2022-02-07,13,9,24,12,12,12,0.3,92,10,1035,42.375,13,10,9,176,113,113,0,4,10,météo correcte,18:22:00,08:16:00,12
2022-02-08,16,5,15,6,12,15,0,78,10,1034,0.5,16,5,2,113,113,113,0,4,10.1,météo correcte,18:23:00,08:14:00,7
2022-02-09,15,7,15,7,14,14,0,73,10,1028,0,15,11,4,113,113,113,0,4,10.1,météo correcte,18:25:00,08:13:00,7
2022-02-10,13,9,10,9,13,12,0.1,87,10,1027,21.875,13,10,7,113,113,116,0,4,10.1,météo correcte,18:26:00,08:12:00,10
2022-02-11,13,5,25,8,10,9,0.9,87,8,1034,60.75,13,9,1,353,113,122,0,2,10,météo correcte,18:28:00,08:10:00,9
2022-02-12,10,3,14,4,8,9,0,72,10,1031,54.25,10,0,-1,116,113,122,0,3,8.4,météo très défavorable,18:29:00,08:09:00,5
2022-02-13,14,7,34,7,14,11,1.4,80,8.875,1021,36.125,14,10,4,113,113,266,0,4,8.4,météo correcte,18:30:00,08:08:00,7
2022-02-14,12,10,39,10,10,11,1.9,82,9.125,1017,74.875,12,10,7,176,353,353,0,3,6.7,météo défavorable,18:32:00,08:06:00,11
2022-02-15,12,9,21,9,11,11,1.8,75,9.625,1027,80.5,12,9,6,353,176,353,0,3,5.1,météo défavorable,18:33:00,08:05:00,9
2022-02-16,13,11,35,11,12,13,2.3,91,6.875,1026,97.875,13,11,7,296,266,176,0,3,5.2,météo défavorable,18:35:00,08:03:00,11
2022-02-17,13,12,27,12,12,13,0.5,97,8,1029,93.625,13,12,10,176,176,143,0,3,5.2,météo défavorable,18:36:00,08:02:00,12
2022-02-18,13,9,21,9,13,11,0.1,92,10,1024,46,13,10,8,113,113,122,0,4,8.4,météo correcte,18:37:00,08:00:00,10
2022-02-19,11,9,20,9,10,10,0.3,72,10,1028,63.125,11,5,6,176,176,116,0,2,8.5,météo défavorable,18:39:00,07:59:00,9
2022-02-20,13,10,23,11,13,13,0.5,89,9.875,1028,81,13,11,9,122,176,176,0,3,5.4,météo défavorable,18:40:00,07:57:00,11
2022-02-21,12,11,28,12,12,11,0.6,94,10,1031,75.25,12,11,9,353,116,119,0,3,8.5,météo défavorable,18:42:00,07:56:00,12
2022-02-22,15,10,10,11,13,14,0,70,10,1032,38.5,15,8,10,119,113,113,0,3,10.9,météo correcte,18:43:00,07:54:00,11
2022-02-23,15,11,10,11,14,15,0,90,10,1031,77,15,9,11,119,116,122,0,3,7,météo défavorable,18:44:00,07:52:00,11
2022-02-24,13,9,13,9,13,12,0,82,10,1027,13.875,13,9,9,113,113,116,0,4,11,météo correcte,18:46:00,07:51:00,10
2022-02-25,10,7,14,7,10,10,0,65,10,1033,47.625,10,4,5,113,119,113,0,2,8.5,météo défavorable,18:47:00,07:49:00,9
2022-02-26,16,5,28,5,12,14,0,66,10,1032,1.625,16,1,1,113,113,113,0,4,11,météo correcte,18:48:00,07:47:00,6
2022-02-27,13,8,14,10,13,13,0,82,10,1026,44.75,13,10,8,116,113,113,0,3,11,météo correcte,18:50:00,07:46:00,8
2022-02-28,17,9,15,9,15,16,0,87,10,1026,13.75,17,8,7,113,113,113,0,4,11.1,météo correcte,18:51:00,07:44:00,9
2022-03-01,15,9,11,9,14,14,0,74,10,1025,60.375,15,7,7,113,116,116,0,4,10.1,météo correcte,19:53:00,08:42:00,10
